aX,aY,aZ,gX,gY,gZ
0.255,-0.545,1.859,107.971,-6.348,-10.681
0.233,-0.567,1.957,127.625,-0.732,-5.127
0.210,-0.582,2.012,152.954,9.277,2.197
0.187,-0.599,2.012,180.542,23.437,11.353
0.160,-0.601,1.960,205.322,42.358,22.278
0.129,-0.578,1.885,224.365,64.392,37.598
0.130,-0.531,1.836,240.601,86.243,54.688
0.138,-0.477,1.775,257.568,104.431,68.970
0.179,-0.438,1.733,276.245,118.347,76.538
0.170,-0.391,1.662,293.091,127.808,80.933
0.155,-0.365,1.606,308.594,133.972,83.618
0.115,-0.367,1.525,322.205,142.212,87.585
0.078,-0.372,1.406,332.458,153.870,96.741
0.043,-0.308,1.300,334.045,167.358,112.000
0.019,-0.238,1.228,331.848,179.871,127.319
-0.000,-0.152,1.180,332.947,192.993,140.381
0.009,-0.108,1.119,340.393,206.970,151.062
0.009,-0.078,1.026,348.511,220.459,158.386
0.024,-0.023,0.927,352.600,235.229,163.025
0.087,0.022,0.777,354.065,248.535,163.330
0.120,0.033,0.606,346.802,265.137,155.090
0.069,0.025,0.478,330.688,285.889,141.296
-0.030,0.025,0.401,317.200,294.373,130.005
-0.104,-0.007,0.350,312.195,284.058,124.817
-0.132,-0.049,0.343,310.181,266.052,125.183
-0.168,-0.098,0.305,308.228,252.625,129.456
-0.166,-0.130,0.247,302.002,246.887,138.672
-0.172,-0.117,0.158,292.175,246.643,147.156
-0.172,-0.103,0.016,282.104,254.395,151.428
-0.216,-0.083,-0.105,269.104,268.677,149.414
-0.272,-0.091,-0.248,259.155,278.931,143.616
-0.311,-0.090,-0.370,257.385,273.682,138.428
-0.376,-0.056,-0.492,259.827,257.935,133.728
-0.490,0.042,-0.596,257.080,246.460,127.747
-0.596,0.115,-0.730,252.319,240.662,124.268
-0.742,0.231,-0.849,244.385,236.816,124.146
-0.885,0.377,-1.001,237.366,231.018,125.610
-1.001,0.558,-1.235,233.765,225.037,128.906
-1.145,0.818,-1.513,225.830,219.238,135.193
-1.257,1.116,-1.824,212.219,213.623,142.334
-1.302,1.412,-2.182,191.895,208.313,148.071
-1.269,1.644,-2.542,161.682,195.984,148.071
-1.093,1.751,-2.820,124.390,165.833,139.954
-0.739,1.688,-2.933,82.703,116.089,118.652
-0.363,1.474,-2.758,36.194,55.115,81.360
-0.093,1.161,-2.300,-10.986,-4.639,33.630
0.084,0.788,-1.670,-46.143,-49.438,-15.015
0.184,0.393,-1.081,-64.087,-75.623,-58.350
0.194,0.036,-0.651,-64.026,-87.097,-86.609
0.203,-0.281,-0.387,-49.622,-84.351,-96.436
0.242,-0.516,-0.282,-29.358,-67.017,-87.891
0.274,-0.638,-0.291,-13.428,-39.429,-65.247
0.281,-0.602,-0.379,-1.465,-10.254,-36.011
0.300,-0.467,-0.584,12.939,14.343,-9.705
0.284,-0.272,-0.845,24.231,31.372,7.446
0.242,-0.043,-1.083,29.236,37.170,15.503
0.213,0.147,-1.266,29.297,32.837,13.916
0.203,0.279,-1.346,25.574,22.034,5.615
0.208,0.327,-1.311,19.531,8.728,-5.005
0.203,0.328,-1.190,12.756,-4.639,-14.099
0.229,0.269,-1.072,8.728,-12.451,-19.592
0.262,0.197,-0.994,6.409,-12.817,-21.118
0.295,0.129,-0.930,4.578,-10.010,-19.714
0.354,0.062,-0.889,4.883,-7.690,-16.418
0.398,0.013,-0.849,5.432,-5.005,-13.245
0.422,-0.014,-0.828,6.226,-0.916,-11.169
0.416,-0.021,-0.852,8.179,3.967,-9.949
0.381,-0.006,-0.926,9.949,7.812,-9.338
0.348,-0.000,-1.000,9.766,8.850,-8.667
0.296,0.015,-1.029,5.981,8.789,-7.996
0.246,0.021,-1.038,3.357,8.179,-7.141
0.200,0.037,-1.047,2.014,7.568,-5.920
0.175,0.045,-1.059,0.916,7.935,-4.639
0.156,0.061,-1.071,0.732,6.592,-3.906
0.180,0.062,-1.067,1.099,4.700,-3.479
0.213,0.041,-1.041,1.282,3.418,-2.869
0.232,0.030,-0.997,1.099,2.136,-3.235
0.255,0.008,-0.968,3.235,1.465,-3.845
0.264,0.004,-0.954,5.127,1.770,-3.723
0.267,0.007,-0.976,6.653,3.418,-2.808
0.248,0.029,-1.010,6.897,4.333,-2.014
0.232,0.060,-1.052,6.226,4.211,-1.526
0.212,0.093,-1.089,3.906,2.563,-1.526
0.199,0.116,-1.123,0.610,1.160,-2.197
0.192,0.142,-1.142,-3.967,-1.404,-3.235
0.172,0.156,-1.131,-9.399,-3.540,-5.249
0.149,0.158,-1.115,-13.123,-5.005,-8.118
0.135,0.153,-1.115,-15.015,-7.019,-10.193
0.118,0.157,-1.147,-16.846,-9.399,-11.902
0.091,0.159,-1.193,-19.836,-11.963,-13.794
0.049,0.172,-1.241,-24.414,-15.991,-15.259
0.000,0.191,-1.292,-30.029,-21.484,-16.296
-0.033,0.212,-1.347,-36.316,-27.893,-16.785
-0.057,0.232,-1.404,-44.556,-34.973,-16.907
-0.095,0.262,-1.453,-55.725,-42.725,-17.883
-0.136,0.308,-1.480,-68.176,-51.819,-19.409
-0.176,0.332,-1.490,-79.651,-61.523,-21.790
-0.209,0.350,-1.466,-90.454,-71.533,-25.452
-0.233,0.364,-1.430,-100.647,-79.346,-30.151
-0.259,0.371,-1.404,-109.070,-86.121,-35.095
-0.264,0.370,-1.396,-116.089,-94.055,-40.527
-0.251,0.371,-1.404,-124.695,-102.844,-46.204
-0.225,0.369,-1.410,-137.390,-112.793,-53.345
-0.199,0.367,-1.417,-155.151,-123.230,-62.805
-0.176,0.361,-1.411,-176.392,-137.329,-74.585
-0.149,0.364,-1.384,-200.928,-156.006,-87.830
-0.145,0.361,-1.323,-229.431,-176.941,-102.905
-0.198,0.381,-1.221,-259.888,-196.777,-117.798
-0.293,0.393,-1.021,-284.607,-216.064,-128.052
-0.359,0.367,-0.763,-295.105,-233.643,-131.653
-0.318,0.266,-0.621,-291.809,-243.774,-129.883
-0.250,0.193,-0.527,-288.086,-244.690,-124.939
-0.207,0.161,-0.463,-293.884,-236.694,-121.399
-0.196,0.171,-0.377,-306.458,-226.135,-118.713
-0.192,0.197,-0.288,-320.312,-218.872,-115.662
-0.174,0.210,-0.212,-336.182,-214.172,-112.610
-0.204,0.243,-0.101,-348.083,-210.205,-109.863
-0.204,0.240,-0.014,-354.309,-209.473,-105.591
-0.204,0.242,0.065,-353.271,-211.975,-97.107
0.424,-0.613,1.399,80.750,15.381,5.371
0.435,-0.635,1.446,89.050,20.630,11.230
0.444,-0.638,1.509,95.886,28.503,19.043
0.450,-0.647,1.564,104.736,38.391,27.771
0.458,-0.651,1.586,117.249,51.147,36.621
0.455,-0.648,1.597,128.052,68.054,48.950
0.468,-0.620,1.611,138.672,83.435,60.425
0.497,-0.599,1.628,151.428,96.558,67.688
0.508,-0.561,1.629,167.419,107.422,68.909
0.486,-0.530,1.590,188.049,116.455,66.162
0.442,-0.501,1.520,207.886,124.268,62.439
0.398,-0.488,1.452,224.915,132.141,59.021
0.343,-0.477,1.383,237.366,140.625,59.082
0.275,-0.482,1.325,246.399,148.743,63.171
0.232,-0.479,1.272,253.357,156.860,71.350
0.208,-0.464,1.245,254.211,163.086,81.421
0.167,-0.430,1.242,254.272,169.861,88.806
0.133,-0.401,1.220,260.559,182.190,93.445
0.073,-0.352,1.157,271.667,198.486,96.985
0.005,-0.282,1.056,283.630,215.027,100.952
-0.009,-0.221,0.936,292.725,227.905,103.882
-0.029,-0.167,0.808,296.387,237.305,104.736
-0.120,-0.099,0.728,293.518,247.498,101.196
-0.070,-0.161,0.601,289.246,256.836,96.252
-0.089,-0.143,0.494,291.260,262.146,98.572
-0.068,-0.089,0.399,287.292,265.625,99.304
-0.034,-0.105,0.324,283.691,268.921,94.482
