aX,aY,aZ,gX,gY,gZ
0.089,0.175,-0.997,3.723,0.366,-2.869
0.094,0.167,-1.009,3.235,0.427,-2.563
0.106,0.164,-1.016,2.258,0.427,-2.502
0.120,0.163,-1.022,1.892,0.366,-2.930
0.132,0.161,-1.027,1.709,0.061,-3.784
0.146,0.157,-1.038,2.563,-0.183,-4.822
0.167,0.150,-1.064,3.662,0.122,-6.470
0.194,0.133,-1.102,3.845,0.916,-7.751
0.232,0.098,-1.146,3.418,2.319,-8.789
0.275,0.054,-1.191,1.526,4.089,-10.010
0.335,-0.027,-1.231,-0.732,6.348,-11.597
0.384,-0.133,-1.261,-3.052,8.301,-14.954
0.406,-0.234,-1.282,-4.822,9.033,-20.752
0.435,-0.337,-1.294,-4.578,8.423,-26.428
0.470,-0.435,-1.313,-3.845,8.484,-30.823
0.499,-0.511,-1.314,-4.272,10.315,-35.156
0.514,-0.563,-1.285,-5.981,13.306,-39.734
0.525,-0.621,-1.240,-5.981,16.296,-43.640
0.529,-0.672,-1.198,-4.639,18.494,-47.241
0.518,-0.715,-1.155,-1.770,19.897,-50.537
0.500,-0.732,-1.083,2.991,20.569,-53.528
0.456,-0.743,-0.982,10.803,22.156,-55.908
0.424,-0.743,-0.873,22.644,24.963,-62.866
0.343,-0.780,-0.799,39.795,28.625,-70.129
0.254,-0.848,-0.743,59.692,29.541,-75.623
0.195,-0.917,-0.719,78.003,32.349,-76.050
0.115,-0.954,-0.739,88.501,41.504,-74.768
-0.064,-0.993,-0.822,95.520,51.819,-72.937
-0.216,-1.077,-0.860,107.056,46.631,-62.561
-0.349,-1.128,-0.751,118.347,25.574,-46.631
-0.494,-1.079,-0.586,124.451,9.827,-33.569
-0.634,-0.975,-0.438,128.052,7.263,-19.165
-0.760,-0.776,-0.298,129.639,10.315,3.052
-0.861,-0.474,-0.104,129.822,16.357,32.349
-0.882,-0.085,0.065,132.812,27.405,66.223
-0.852,0.319,0.215,136.414,42.175,99.609
-0.913,0.706,0.337,142.761,54.382,120.422
-1.064,1.122,0.450,157.959,46.326,133.484
-1.216,1.621,0.608,172.668,13.855,153.564
-1.399,2.138,0.793,180.786,-12.512,177.917
-1.672,2.581,0.845,184.631,-11.841,206.787
-1.867,2.967,0.643,184.753,23.132,248.535
-1.421,3.288,-0.035,175.537,97.839,315.735
-1.226,3.528,-0.821,145.569,189.209,367.493
-0.645,3.667,-1.801,121.582,234.436,367.126
0.281,3.313,-2.502,113.098,196.960,334.412
1.135,2.770,-2.583,99.976,84.961,259.338
1.492,2.432,-2.069,74.890,-45.288,150.635
1.362,2.129,-1.396,43.213,-127.563,39.185
0.929,1.771,-0.917,19.836,-143.799,-57.495
0.377,1.310,-0.726,6.714,-119.812,-118.347
-0.192,0.875,-0.688,-4.883,-86.243,-141.724
-0.732,0.562,-0.655,-21.240,-55.054,-135.742
-1.060,0.300,-0.656,-34.912,-25.146,-108.704
-1.081,0.130,-0.602,-39.307,-10.498,-66.895
-0.971,0.164,-0.464,-40.466,-11.841,-26.733
-0.813,0.303,-0.374,-38.574,-10.803,-0.366
-0.643,0.435,-0.359,-32.410,-4.456,15.015
-0.490,0.544,-0.418,-25.208,-0.488,19.653
-0.380,0.592,-0.500,-18.738,-4.395,13.916
-0.325,0.602,-0.548,-13.733,-16.724,1.526
-0.333,0.571,-0.555,-11.230,-29.785,-8.240
-0.379,0.495,-0.535,-11.597,-32.654,-14.343
-0.444,0.427,-0.486,-14.282,-25.940,-13.611
-0.488,0.389,-0.476,-15.320,-14.038,-5.676
-0.466,0.383,-0.498,-14.038,-0.305,7.874
-0.394,0.434,-0.529,-13.550,13.611,23.926
-0.296,0.512,-0.572,-13.611,26.794,36.316
-0.207,0.630,-0.625,-11.963,36.255,41.504
-0.120,0.691,-0.724,-8.118,38.208,39.307
-0.094,0.719,-0.802,-5.310,31.494,27.771
-0.131,0.706,-0.819,-3.052,15.808,10.132
-0.194,0.678,-0.769,0.977,-7.324,-5.737
-0.243,0.645,-0.711,5.493,-27.344,-16.235
-0.288,0.619,-0.652,7.751,-36.255,-21.484
-0.308,0.602,-0.611,8.545,-34.790,-22.461
-0.319,0.609,-0.601,9.521,-27.649,-19.897
-0.313,0.630,-0.631,11.475,-18.311,-15.747
-0.292,0.658,-0.712,13.428,-8.850,-11.353
-0.264,0.716,-0.785,11.536,-0.427,-8.545
-0.236,0.760,-0.850,6.653,7.446,-6.287
-0.215,0.851,-0.899,0.061,13.489,-6.897
-0.207,0.901,-0.945,-6.042,16.479,-9.338
-0.219,0.971,-0.971,-11.292,14.954,-14.465
-0.214,1.019,-0.971,-15.869,10.376,-21.118
-0.195,1.035,-0.945,-20.569,5.493,-27.100
-0.167,1.075,-0.895,-27.100,3.296,-33.447
-0.138,1.097,-0.857,-33.020,4.639,-38.391
-0.135,1.126,-0.822,-38.269,7.202,-43.396
-0.146,1.193,-0.783,-42.358,8.118,-48.950
-0.160,1.297,-0.774,-46.875,9.705,-54.871
-0.153,1.379,-0.816,-54.810,14.465,-63.660
-0.189,1.490,-0.828,-67.871,18.127,-74.646
-0.268,1.647,-0.792,-80.505,14.587,-83.252
-0.312,1.844,-0.793,-89.783,7.751,-89.600
-0.388,1.884,-0.844,-101.990,6.348,-98.938
-0.469,1.864,-0.845,-120.056,5.127,-110.168
-0.541,1.890,-0.744,-136.963,-4.333,-113.647
-0.554,1.930,-0.610,-151.245,-12.817,-110.413
-0.501,1.976,-0.515,-162.048,-13.123,-104.065
-0.438,2.008,-0.463,-171.204,-7.202,-100.159
-0.373,2.019,-0.426,-177.429,-4.150,-101.807
-0.281,1.988,-0.409,-175.842,-12.390,-109.070
